id;sex;season;ampm;exc;time
L;1;1;1;0;19.42
RGB;1;1;1;0;99.5
RGR;1;1;1;0;102.43
RLB;1;1;1;0;145.83
RLO;1;1;1;0;48.3
ROG;1;1;1;0;79.35
RRB;1;1;1;0;20.75
RV;1;1;1;0;40.82
YGB;1;1;1;1;619.62
ROO;1;1;2;0;86.47
ROV;1;1;2;0;15.57
RY;1;1;2;0;17.32
MY;1;2;1;1;159.45
RB;1;2;1;0;39.15
RBB;1;2;1;1;125.48
RBR;1;2;1;1;51.75
RLL;1;2;1;0;15.23
RLM;1;2;1;0;161.08
RLR;1;2;1;1;57.75
RLV;1;2;1;0;107.5
RLY;1;2;1;1;48.1
ROB;1;2;1;1;49.5
ROR;1;2;1;1;43.3
ROY;1;2;1;1;113.95
RRL;1;2;1;0;17.26
RRR;1;2;1;1;91.6
RYB;1;2;1;1;22.67
RYL;1;2;1;1;15.37
RYR;1;2;1;1;170.49
YRO;1;2;1;1;62.98
GLB;1;2;2;0;101.6
RLG;1;2;2;1;168.8
RML;1;2;2;0;51.75
RYG;1;2;2;1;284.6
YRM;1;2;2;1;42.7
BBG;2;1;1;0;22.67
BGG;2;1;1;0;300.1
BGL;2;1;1;0;527.5
BMO;2;1;1;0;37.73
BOG;2;1;1;0;207
BML;2;1;2;0;590
BOO;2;1;2;0;63.55
BYL;2;1;2;0;92.82
BBL;2;2;1;1;98.82
BBO;2;2;1;1;33.68
BBY;2;2;1;1;17.73
BGB;2;2;1;1;98.15
BMG;2;2;1;0;26.53
BOB;2;2;1;1;29.02
BVL;2;2;1;1;31.22
BYM;2;2;1;1;90.35
GBM;2;2;1;1;56.53
PP;2;2;1;0;54.43
RLB;2;2;1;0;27.53
RRR;2;2;1;1;85.93
RRV;2;2;1;0;15.92
RY;2;2;1;1;159.92
YRO;2;2;1;1;59.03
ZXX;2;2;1;0;45.75
ZXY;2;2;1;1;31.8
ZYY;2;2;1;0;186.62
BGV;2;2;2;0;17.5
BGY;2;2;2;0;16.75
BLV;2;2;2;1;24.43
BOL;2;2;2;0;39.33
BVG;2;2;2;0;29.23
BYB;2;2;2;0;56.57
BYG;2;2;2;0;211.37
BYV;2;2;2;0;23.03
RLG;2;2;2;1;38.35
RLL;2;2;2;1;411.95
RLR;2;2;2;0;21
RLV;2;2;2;1;30.37
YOS;2;2;2;0;59.57
ZZX;2;2;2;1;23.1
