ind;ringnr;tr;plats;year;date;hour;sign;sex;age;wing;tarsv;tail;wproj;fett;weigh;bill;bihe;biwi
H1-29;NA;1;Tak;89;51;12;DHT;female;35;95;32.9;NA;NA;2;30.3;NA;NA;NA
H1-38;NA;1;Tak;89;42;8;SBH;female;35;99;33.1;NA;NA;2;34.9;NA;NA;NA
H1-51;NA;1;Tak;89;38;11;SBH;male;35;101;34.1;NA;NA;2;35.3;NA;NA;NA
H1-58;NA;1;Tak;89;42;7;SBH;male;20;100;34.8;NA;NA;1;36.5;NA;NA;NA
H1-89;NA;1;Tak;89;38;10;SBH;male;35;104;33.9;NA;NA;2;36.8;NA;NA;NA
H1-91;NA;1;Tak;89;42;12;SBH;male;20;101;33.8;NA;NA;2;37.3;NA;NA;NA
H4-15;NA;1;Tak;89;37;9;SBH;male;20;100;34.1;NA;NA;1;35.6;NA;NA;NA
H4-17;NA;1;Tak;89;36;9;SBH;male;20;103;33;NA;NA;1;34.6;NA;NA;NA
H0-19;NA;1;Tak;89;37;9;SBH;male;20;101;34;NA;NA;2;36.2;NA;NA;NA
H4-22;NA;1;Tak;89;17;10;SBH;male;35;103;34;NA;NA;2;32.7;NA;NA;NA
H4-23;NA;1;Tak;89;24;9;DHT;male;25;98;33;NA;NA;1;33.4;NA;NA;NA
H4-25;NA;1;Tak;89;20;11;SBH;female;35;98;32.1;NA;NA;3;35.3;NA;NA;NA
H4-25;NA;1;Tak;89;4;10;SBH;male;35;102;33.2;NA;NA;3;NA;NA;NA;NA
H4-27;NA;1;Tak;89;24;15;UON;male;20;102;32.8;NA;NA;2;34.6;NA;NA;NA
H4-28;NA;1;Tak;89;4;14;DHT;male;35;104;34.8;NA;NA;3;NA;NA;NA;NA
H4-32;NA;1;Tak;89;20;13;SBH;male;35;100;35;NA;NA;1;35.3;NA;NA;NA
H4-33;NA;1;Tak;89;27;9;DHT;male;35;104;33.2;NA;NA;2;35.1;NA;NA;NA
H4-35;NA;1;Tak;89;4;13;DHT;male;35;102;33.8;NA;NA;2;NA;NA;NA;NA
H4-38;NA;1;Tak;89;21;8;SBH;male;20;97;34.7;NA;NA;2;36.3;NA;NA;NA
H4-43;NA;1;Tak;89;27;11;DHT;male;20;99;32.2;NA;NA;2;34.4;NA;NA;NA
H4-45;NA;1;Tak;89;27;9;DHT;male;35;99;32.1;NA;NA;1;34.1;NA;NA;NA
H4-48;NA;1;Tak;89;26;12;DHT;female;35;98;33;NA;NA;3;34.4;NA;NA;NA
H4-52;NA;1;Tak;89;37;11;PFN;male;20;101;34.7;NA;NA;1;37.4;NA;NA;NA
H4-53;NA;1;Tak;89;24;12;UON;male;35;101;33.8;NA;NA;1;35.7;NA;NA;NA
H4-55;NA;1;Tak;89;4;14;DHT;male;35;100;34.1;NA;NA;3;NA;NA;NA;NA
H4-57;3423518;1;Tak;89;37;8;PFN;male;20;98;33.3;NA;NA;1;34.3;NA;NA;NA
H4-58;NA;1;Tak;89;17;10;SBH;male;35;105;34.2;NA;NA;2;37.8;NA;NA;NA
H4-59;NA;1;Tak;89;24;13;UON;male;35;103;35;NA;NA;1;35.8;NA;NA;NA
H4-72;NA;1;Tak;89;15;20;SBH;male;35;102;34.7;NA;NA;2;35.8;NA;NA;NA
H4-73;NA;1;Tak;89;24;9;DHT;male;35;100;33.9;NA;NA;2;35.7;NA;NA;NA
H4-75;NA;1;Tak;89;24;10;DHT;male;35;103;34.2;NA;NA;2;36.2;NA;NA;NA
H4-77;NA;1;Tak;89;4;11;SBH;male;35;102;34.2;NA;NA;2;NA;NA;NA;NA
H4-79;NA;1;Tak;89;12;8;DHT;male;35;101;35.7;NA;NA;1;37.5;NA;NA;NA
H4-81;NA;1;Tak;89;36;11;SBH;male;35;100;32.8;NA;NA;1;35.3;NA;NA;NA
H4-82;3423630;1;Tak;89;24;10;DHT;male;35;101;33.1;NA;NA;2;34.2;NA;NA;NA
H4-83;NA;1;Tak;89;26;12;DHT;female;35;97;33.9;NA;NA;2;32.2;NA;NA;NA
H4-85;NA;1;Tak;89;15;21;SBH;male;35;103;34.4;NA;NA;3;36.8;NA;NA;NA
H4-87;NA;1;Tak;89;21;10;SBH;male;35;102;33.5;NA;NA;3;39.8;NA;NA;NA
H4-88;NA;1;Tak;89;18;11;SBH;male;35;104;35.2;NA;NA;2;37.1;NA;NA;NA
H4-89;NA;1;Tak;89;27;10;DHT;male;35;103;32.2;NA;NA;2;37;NA;NA;NA
H4-92;NA;1;Tak;89;17;12;SBH;male;35;102;34.6;NA;NA;3;37.6;NA;NA;NA
H4-93;NA;1;Tak;89;27;10;DHT;male;35;103;33.9;NA;NA;2;38.1;NA;NA;NA
H4-95;NA;1;Tak;89;21;11;SBH;male;35;103;33.3;NA;NA;1;35.3;NA;NA;NA
H4-97;NA;1;Tak;89;24;14;UON;male;25;99;31.9;NA;NA;2;35.3;NA;NA;NA
H4-98;NA;1;Tak;89;4;12;DHT;male;35;103;33.3;NA;NA;3;NA;NA;NA;NA
H4-99;NA;1;Tak;89;17;11;SBH;male;35;103;33.4;NA;NA;2;34.2;NA;NA;NA
V5-33;NA;1;Tak;89;18;18;SBH;male;20;101;34.2;NA;NA;1;34.3;NA;NA;NA
V5-38;NA;1;Tak;89;26;10;DHT;male;20;104;35.3;NA;NA;1;38;NA;NA;NA
V5-87;NA;1;Tak;89;24;8;DHT;male;20;102;33.6;NA;NA;1;34.1;NA;NA;NA
V5-95;NA;1;Tak;89;37;11;SBH;female;20;97;32.8;NA;NA;3;34.5;NA;NA;NA
2-15;NA;1;Grek;90;-9;12;DHT;male;35;100;34.3;NA;NA;3;33.9;NA;NA;NA
2-25;NA;1;Grek;90;-19;17;DHT;male;35;100;34.4;NA;NA;3;33;NA;NA;NA
2-48;NA;1;Grek;90;-9;10;SBH;male;35;97;32.1;NA;NA;2;31.3;NA;NA;NA
2-55;NA;1;Grek;90;-12;12;DHT;male;35;98;33.7;NA;NA;3;33.7;NA;NA;NA
2-59;NA;1;Grek;90;-9;18;SBH;male;35;98;33.4;NA;NA;3;32;NA;NA;NA
2-72;NA;1;Grek;90;-12;13;DHT;male;35;98;33.3;NA;NA;4;34;NA;NA;NA
2-77;NA;1;Grek;90;-9;17;SBH;male;35;97;34;NA;NA;4;34;NA;NA;NA
2-79;NA;1;Grek;90;-12;18;SBH;male;35;102;34.9;NA;NA;3;34;NA;NA;NA
2-89;NA;1;Grek;90;-9;11;SBH;male;35;103;33.1;NA;NA;1;31.8;NA;NA;NA
2-94;NA;1;Grek;90;-9;10;DHT;male;35;99;32;NA;NA;2;28.6;NA;NA;NA
2-99;NA;1;Grek;90;-9;16;SBH;male;35;99;33.3;NA;NA;3;34;NA;NA;NA
2H-38;NA;1;Kvi;91;60;13;DHT;female;50;98;32.1;76;28;2;30.7;11.7;5;5.2
2H-8;NA;1;Kvi;91;41;8;SBH;male;50;105;33.1;83;33;1;35.4;13.3;5.2;5.1
H-23;NA;1;Kvi;91;56;9;SBH;female;80;94;32.2;75;29;2;33.1;12.2;5.2;5
H-42;NA;1;Kvi;91;63;8;DHT;female;70;96;31.9;72;28;1;27.8;11.5;5.1;4.8
H-45;NA;1;Kvi;91;45;7;SBH;female;70;95;32.9;75;28;3;35;12.3;5.1;5.1
H2-9;NA;1;Kvi;91;28;20;SBH;male;50;100.4;33.1;78;31;2;33.8;12.3;5.1;5
H4-83;NA;1;Kvi;91;41;8;SBH;female;55;97;34;76;28.5;2;34.8;12.8;5.1;5.2
H4-83;NA;2;Kvi;91;63;9;DHT;female;55;97;33.8;75;26;1;33.8;13.1;5.3;5.3
H5-11;NA;1;Kvi;91;62;11;SBH;female;40;98;33;75;28;2;30.8;12;5.1;5
H5-14;NA;1;Kvi;91;37;9;DHT;female;40;98;32.6;75;29;1;34.7;12.3;5;5.2
H5-18;NA;1;Kvi;91;60;12;DHT;male;40;106;34;83;30.5;1;33.4;12.7;5.5;5.2
H5-28;NA;1;Kvi;91;18;22;SBH;male;40;101;33.2;78;29;3;33.7;12.1;NA;NA
H5-48;NA;1;Kvi;91;43;10;SBH;male;40;104;33.7;82;32;1;35.7;12;5;5
H5-59;NA;1;Kvi;91;28;8;SBH;female;40;95;32.5;74;29;2;36.3;12.1;5.1;5.1
H5-79;NA;1;Kvi;91;83;10;DHT;female;40;96;32.1;74;29;1;28.8;12.4;5.2;5.3
H5-89;NA;1;Kvi;91;18;22;SBH;male;40;100;34.8;81;31;2;36.6;12.2;NA;NA
H5-97;NA;1;Kvi;91;64;16;BNN;female;40;97;32.2;77;29;2;32.2;12.2;5;5.1
H7-22;NA;1;Kvi;91;24;9;SBH;male;35;103;33.8;82;30;1;36.3;12.8;5.2;5
H7-24;NA;1;Kvi;91;54;9;SBH;female;20;97;33.3;76;29;2;34.4;12.7;5.2;4.9
H7-27;NA;1;Kvi;91;24;6;DHT;male;35;100;34.9;80;28;0;36.5;13;5.6;5.1
