sex;ar1;ar2;age;lives;tq;rep
F;89;89;1;0;2;10.18551254
F;89;89;1;0;2;5.986961426
M;89;89;1;0;1;6.120237231
M;89;89;1;0;2;6.161636204
F;89;89;1;0;1;7.279132843
M;89;89;1;0;1;6.189209342
F;89;89;1;0;1;6.284917355
M;89;89;1;0;1;6.521457791
M;89;90;2;0;2;3.416959524
F;89;90;2;0;1;3.037501693
M;89;90;2;0;1;5.180408642
F;89;90;2;0;2;5.796624854
M;89;90;2;0;2;10.90992069
F;89;90;2;0;2;3.75287652
M;89;90;2;0;2;9.957960367
F;89;90;2;0;1;4.416085124
M;89;90;2;0;1;6.586560965
M;89;90;2;0;1;6.376955152
F;89;91;3;0;1;0
M;89;91;3;0;1;5.519065797
F;89;91;3;0;2;6.353221625
M;89;91;3;0;2;7.012967944
F;89;91;3;0;2;6.817344487
M;89;91;3;0;2;8.656889915
F;89;91;3;0;2;5.726182014
M;89;91;3;0;2;4.432661772
F;89;92;4;0;1;4.340845466
F;90;90;1;0;2;4.519973159
F;90;90;1;0;1;8.404231071
M;90;90;1;0;1;10
M;90;90;1;0;1;5.975897253
M;90;90;1;0;1;5.404395998
M;90;90;1;0;2;7.963580728
F;90;90;1;0;1;6.072300196
F;90;90;1;0;1;6.330301523
M;90;90;1;0;1;3.235688925
F;90;91;2;0;2;7.618217945
F;90;91;2;0;2;4.44283843
M;90;91;2;0;1;1.595615864
F;90;93;4;0;2;6.125323698
F;91;NA;NA;0;1;3.701866746
M;91;91;1;0;1;5.899493456
F;91;91;1;0;1;8.502315044
F;91;91;1;0;1;5.120247267
F;91;91;1;0;2;4.733003736
F;91;91;1;0;2;5.477888644
M;91;91;1;0;2;4.794932604
F;91;91;1;0;2;4.587242484
F;91;91;1;0;2;4.244953632
M;91;91;1;0;2;4.341239333
F;91;91;1;0;1;7.006700754
M;91;91;1;0;1;4.176614404
M;91;91;1;0;1;3.576196432
F;91;92;2;0;2;2.546661377
M;91;93;3;0;2;4.823837399
M;91;94;4;0;1;2
M;91;94;4;0;2;7.405821681
M;91;96;6;0;2;8.624533415
M;92;NA;NA;0;1;8.339572906
M;92;93;2;0;1;3.524682999
F;92;94;3;0;2;4.855427265
M;93;NA;5;1;2;4.856692433
M;93;NA;5;1;2;4.121467352
F;93;93;1;0;1;5.20436509
M;93;93;1;0;2;5.869680375
F;93;93;1;0;1;4.001566708
M;93;94;2;0;2;4.337193012
F;93;94;2;0;2;4.114117861
F;93;94;2;0;1;2.810236216
M;93;94;2;0;1;3.698426723
F;94;NA;4;1;2;5.030800939
F;94;NA;4;1;2;2.878086329
M;94;NA;4;1;2;6.145951435
F;94;NA;4;1;2;6.662336946
F;94;94;1;0;1;7.144314766
M;94;94;1;0;1;6.251831174
F;94;94;1;0;1;5.495080888
M;94;94;1;0;1;5.052083038
F;94;94;1;0;1;3.056156993
M;94;94;1;0;2;4.111775875
F;94;95;2;0;2;6.402398467
F;94;95;2;0;1;4.071722209
M;95;NA;3;1;2;3.991506577
M;95;NA;3;1;2;2.978654146
F;95;NA;3;1;2;5.050864756
M;95;NA;3;1;2;6.950914681
F;95;95;1;0;1;5.795372665
F;95;95;1;0;2;7.438593984
F;95;95;1;0;1;7.743910074
F;95;95;1;0;1;7.444941282
M;95;95;1;0;1;5.81839937
M;95;96;2;0;1;6.086099863
M;95;96;2;0;2;8.52082777
M;95;96;2;0;2;6.623428404
M;95;96;2;0;1;5.594025254
M;96;NA;2;1;1;5.683911979
F;96;NA;2;1;2;4.377029538
M;96;NA;2;1;1;4.024365783
F;96;NA;2;1;1;6.547724366
M;96;NA;2;1;1;2.379567146
F;96;NA;2;1;2;0.789425373
M;96;NA;2;1;2;3.530554056
M;96;NA;2;1;2;3.820267677
F;96;96;1;0;1;5.663968682
M;96;96;1;0;1;6.662517905
F;96;96;1;0;1;5.797924578
F;96;96;1;0;1;5.084551051
M;96;96;1;0;2;5.611660153
F;96;96;1;0;2;9.229716778
F;96;96;1;0;1;5.202719182
F;96;96;1;0;1;5.438664943
M;96;96;1;0;1;5.037210084
M;96;96;1;0;1;3.460241556
F;96;96;1;0;1;7.238021135
F;97;NA;1;1;1;7.398779154
M;97;NA;1;1;2;5.493619323
F;97;NA;1;1;1;5.385142118
M;97;NA;1;1;1;7.012528896
F;97;NA;1;1;1;9.227488995
M;97;NA;1;1;2;6.989304245
F;97;NA;1;1;2;7.89104104
F;97;NA;1;1;1;2.257990599
M;97;NA;1;1;1;4.805673242
F;97;NA;1;1;1;3.655211449
M;97;NA;1;1;1;6.23605454
