yr;pid;fledge
93;YRY_BOB;5
93;ROV_RLL;5
93;RLB_BOO;3
93;ROG_BOG;4
93;YRM_RLL;3
93;YGB_BGG;6
93;ROO_BOL;1
93;RGO_BBO;5
94;ROB_BYO;5
94;RGR_BYL;4
94;ROG_BOG;6
94;RGY_BGG;6
94;RGO_BBO;1
94;RLV_om;6
94;MY_om;4
95;RRB_BLV;4
95;ROG_BOG;5
95;RYM_BYM;3
95;RLM_BYO;4
95;RBR_BYY;6
95;RML_BML;6
96;YRY_BMY;4
96;RRG_BMB;4
96;YVS_BMB;3
96;GLB_BVO;5
96;RRB_BVG;4
96;RMV_BMG;5
96;ROG_BOG;5
96;GLB_BMV;6
96;RYM_BYM;6
96;RBR_BYO;5
96;RRV_BVL;4
96;RRY_BMO;4
96;RVG_BGM;4
96;RRM_BLM;4
