twig;yr;pid;gud
O41;93;YRY_BOB;2.23
O39;93;YRY_BOB;2.01
A1;93;YRY_BOB;0.53
O37;93;YRY_BOB;7.11
O38;93;YRY_BOB;0
O36;93;YRY_BOB;0
A3;93;YRY_BOB;0
A10;93;YRY_BOB;1.22
A2;93;YRY_BOB;1.06
A4;93;YRY_BOB;0.29
O58;93;ROV_RLL;0.53
O59;93;ROV_RLL;1.12
O62;93;ROV_RLL;0.74
O60;93;ROV_RLL;1.02
O56;93;ROV_RLL;2.88
O61;93;ROV_RLL;1
O55;93;ROV_RLL;2.12
A6;93;ROV_RLL;1.73
O54;93;ROV_RLL;2.71
A7;93;ROV_RLL;0.87
A9;93;ROV_RLL;0.27
A8;93;ROV_RLL;1.96
A13;93;ROV_RLL;0.42
O49;93;RLB_BOO;0
O50;93;RLB_BOO;0
O44;93;RLB_BOO;0
O46;93;RLB_BOO;0.2
O45;93;RLB_BOO;0.05
O42;93;RLB_BOO;2.41
O67B;93;ROG_BOG;1.76
O68;93;ROG_BOG;2.52
O67;93;ROG_BOG;2.64
O66;93;ROG_BOG;0.7
O65;93;ROG_BOG;1.11
A11;93;ROG_BOG;0
O63;93;ROG_BOG;2.73
O64;93;ROG_BOG;1.63
U1;93;YGB_BGG;4.14
U3;93;YGB_BGG;0.12
A12;93;YGB_BGG;2.52
U2;93;YGB_BGG;8.58
O29;93;YGB_BGG;0.42
O6;93;YGB_BGG;5.06
Li_Ra;93;YGB_BGG;0.79
Ek_Ra;93;YGB_BGG;0
O5;93;YGB_BGG;3.07
O1;93;YGB_BGG;0.25
O2;93;YGB_BGG;2.08
O4;93;YGB_BGG;4.82
O3;93;YGB_BGG;2.96
O17;93;ROO_BOL;0
O16;93;ROO_BOL;2.03
O14;93;ROO_BOL;0.42
O15;93;ROO_BOL;0.34
O13;93;ROO_BOL;0.39
A24;93;RYR_BYB;1.64
A20;93;RYR_BYB;0.32
A18;93;RYR_BYB;0.33
A19;93;RYR_BYB;11.71
A17;93;RYR_BYB;6.64
U10;94;YRY_om;0.24
O55;94;RYL_BMY;3.52
O54;94;RYL_BMY;0.63
O56;94;RYL_BMY;2.08
F8;94;RLB_BOO;5.47
F2;94;RLB_BOO;0.26
F1;94;RLB_BOO;0.22
O33;94;RLB_BOO;5.75
O30;94;RLB_BOO;4.79
O31;94;RLB_BOO;1.24
O32;94;RLB_BOO;0.39
S2;94;RLB_om;0.5
S1;94;RLB_om;0.5
O53G;94;ROB_BYO;2.83
U16;94;RGR_BYL;0.34
O8;94;ROG_BOG;1.69
U6;94;ROG_BOG;4.72
O3;94;ROG_BOG;0.64
O2;94;ROG_BOG;0.37
O1;94;ROG_BOG;0.11
F4;94;ROG_BOG;0.79
U13;94;YRM;5.11
U15;94;YRM;4.96
U14;94;YRM;0.68
F5;94;YRM;1.69
O53;94;YRM;4.48
O52;94;YRM;1.41
O48;94;YRM;7.43
O50;94;YRM;4.53
O51;94;YRM;5.27
U2;94;RGY_BGG;3.22
U4;94;RGY_BGG;1.39
U3;94;RGY_BGG;0.98
U5;94;RGY_BGG;0.8
O28;94;RGY_BGG;0.82
O27;94;RGY_BGG;0.25
O23;94;RGY_BGG;0.42
O26;94;RGY_BGG;1.63
U1;94;RGY_BGG;1.01
O24;94;RGY_BGG;2.09
O25;94;RGY_BGG;2.1
O35;94;RGO_BBO;0.17
O34;94;RGO_BBO;0
U11;94;RYR_BYB;1.35
O42;94;om_BYV;1.75
O43;94;om_BYV;5.57
O36;94;om_BYV;3.16
O41;94;om_BYV;0.36
O38;94;om_BYV;2.22
O37;94;om_BYV;2.8
