site;stand;surf;oak;bir;bea;ald;asp;lim
0;10;1.6;0.1;0.65;0;0.15;0.05;0
0;11;0.7;0;0.3125;0;0.5;0.0625;0.0625
0;12;1.3;0.21429;0.28571;0;0.39286;0.07143;0.03571
0;14;1.9;0.08333;0.04167;0.625;0;0;0.08333
0;15;1.3;0.1;0.1;0.5;0;0;0.25
0;16;1.7;0.3125;0.1875;0.1875;0.1875;0;0.0625
0;27;4.2;0.08333;0.38889;0;0.19444;0.30556;0
0;31;1.8;0.875;0;0;0;0;0.125
0;32;0.4;0;0;0;0.5;0;0.16667
0;33;2.2;0.10714;0.21429;0.03571;0;0;0.10714
0;41;1;0.0625;0.3125;0.1875;0.1875;0.1875;0
0;42;1.7;0.3125;0.28125;0.0625;0;0.21875;0
0;43;1;0;0.25;0;0;0;0.25
0;50;1.5;0.2;0;0;0.6;0;0
0;51;0.5;0.14286;0;0;0;0;0
0;52;0.7;0.25;0.125;0;0.25;0;0
0;59;0.9;0.0625;0.125;0.625;0.0625;0;0
0;60;2.1;0.59375;0.15625;0.03125;0.125;0;0.03125
0;62;0.7;0.1875;0.375;0.0625;0.0625;0.0625;0
0;65;0.3;0;0.22222;0;0.66667;0;0
0;68;3.5;0.04167;0.20833;0;0.04167;0;0
0;71;5;0.15;0.25;0;0.0375;0;0
0;72;3;0.375;0.09375;0;0.28125;0.09375;0
0;77;1.3;0;0;0;0;0;0
0;79;0.9;0.41667;0.16667;0;0.33333;0;0
0;84;8.7;0.04478;0.46269;0;0.04478;0;0
0;91;0.6;0;0;0;1;0;0
1;145;11.7;0.56522;0.08696;0.04348;0.08696;0;0.13043
1;147;6.6;0.30556;0.16667;0;0;0;0.05556
1;148;3.7;0.45161;0.14516;0.03226;0.01613;0;0.08065
1;149;9.1;0.19355;0.02151;0.03226;0.01075;0.01075;0.24731
1;150;1.4;0.38462;0.38462;0.07692;0.15385;0;0
1;151;0.8;0;0.25;0;0.75;0;0
1;152;1.2;0;0.14286;0.57143;0;0;0.14286
1;154;2.3;0.34483;0.24138;0.06897;0.13793;0;0.06897
1;156;0.4;0;0;0;0;0;0
1;157;7.1;0.58824;0.07353;0;0.04412;0;0.14706
1;199;0;0.20755;0.22642;0;0.35849;0.13208;0.03774
3;304;2.6;0.14286;0.37143;0;0.4;0.02857;0
3;306;4.7;0.26761;0.26761;0;0.28169;0;0
3;307;2.4;0.66667;0.08333;0.04167;0.08333;0;0.04167
3;308;3.4;0.18333;0.21667;0.03333;0.1;0.16667;0.01667
3;309;2;0.10256;0.46154;0;0.12821;0.07692;0
3;310;1.2;0.75;0.08333;0;0.16667;0;0
3;311;2.8;0.55556;0.27778;0;0.08333;0.02778;0.02778
3;312;9;0.20611;0.23664;0;0.19084;0.07634;0.03053
3;313;8.6;0.15517;0.11207;0;0.0431;0.02586;0.07759
3;313;8.6;0.25;0.16667;0;0;0;0.45833
3;313;8.6;0.08333;0.04167;0;0;0;0.5
3;315;2.5;0.61364;0.18182;0;0;0;0
3;317;1.3;0.03125;0.15625;0;0;0;0
7;403;10.4;0.4593;0.21512;0;0.14535;0.01744;0
7;404;3.3;0.33333;0.05556;0;0;0.05556;0.22222
7;405;1.1;0.47619;0.28571;0;0.04762;0.04762;0.04762
7;702;2.1;0.14815;0.33333;0;0.03704;0;0
7;703;2.2;0.22857;0.28571;0;0.31429;0.02857;0
7;704;4.8;0.40741;0.42593;0;0.07407;0.01852;0
7;705;6.5;0.15;0.4375;0;0.175;0.1625;0
7;706;0.6;0.16667;0.08333;0;0;0;0
7;708;1.3;0.1875;0.5;0;0;0.25;0
7;709;1.5;0.26531;0.46939;0;0;0.06122;0
7;710;2;0.78571;0.10714;0;0.07143;0;0
7;711;1.2;0.09091;0.51515;0;0.09091;0.18182;0
7;712;9.6;0.23944;0.43662;0;0.07042;0.10563;0.01408
7;713;1.1;0.375;0.3125;0;0;0.25;0.0625
7;715;4.4;0.29545;0.45455;0;0.02273;0.06818;0
7;799;0;0;0;0;1;0;0
7;801;3;0.10417;0.33333;0;0;0.04167;0
7;804;2.2;0.09375;0.40625;0;0.1875;0;0
7;806;1.5;0.45833;0.45833;0;0;0;0
7;807;0.7;0;0.625;0;0.0625;0;0
7;808;0.7;0.0625;0.6875;0;0;0;0
7;809;0.9;0.5;0.16667;0;0;0;0
7;909;2.6;0.025;0.375;0;0.025;0;0
7;912;3.2;0.02273;0.11364;0;0;0;0
10;1001;1.2;0.3125;0.3125;0;0.0625;0.0625;0.125
10;1002;3.7;0.53571;0.07143;0;0;0;0.32143
10;1003;1.8;0.34615;0.11538;0;0;0.01923;0.09615
10;1012;1.6;0.75;0.25;0;0;0;0
10;1013;6;0.6;0;0;0;0;0.05
10;1014;0.8;0.23529;0.35294;0;0;0;0.11765
10;1016;6.1;0.44944;0.24719;0;0.04494;0.06742;0.06742
10;1016;6.1;0.51852;0.33333;0;0.03704;0.11111;0
10;1016;6.1;0.51852;0.33333;0;0.03704;0.11111;0
10;1017;1.7;0.28571;0;0;0.03571;0.10714;0.42857
10;1018;6.6;0.03125;0.21875;0;0;0;0.03125
10;1020;30.9;0.28571;0.16667;0;0.07143;0.0119;0.10714
10;1022;3.1;0.175;0.55;0;0;0;0
10;1022;3.1;0;0.875;0;0.125;0;0
10;1022;3.1;0;0.75;0;0.125;0;0
10;1024;2;0.325;0.25;0;0;0.025;0.05
10;1025;1.1;0;0.8125;0;0;0;0
10;1026;7.2;0.16981;0.09434;0;0;0;0
10;1027;16;0.11321;0.73585;0;0.11321;0;0
10;1028;4;0.09375;0.03125;0;0;0;0
10;1029;2.2;0.05;0.65;0;0.15;0;0
10;1030;0.8;0.04;0.84;0;0.08;0;0
10;1033;2.1;0.4;0.26667;0;0.06667;0;0
10;1037;2.1;0.12766;0.12766;0;0.08511;0.02128;0
10;1040;2.1;0;0.92857;0;0;0.07143;0
10;1102;0.6;0;0.625;0;0.375;0;0
10;1103;0.3;0.25;0;0;0;0;0.75
