ar;date;egg
1989;12;7
1989;11;6
1989;19;4
1989;11;6
1989;19;5
1989;9;6
1990;3;6
1990;6;5
1990;5;5
1990;3;6
1990;5;6
1990;5;8
1990;5;6
1990;5;6
1990;1;7
1990;7;7
1990;5;6
1991;35;4
1991;16;6
1991;30;5
1991;22;5
1991;14;7
1991;20;5
1991;27;5
1991;21;7
1991;24;6
1992;18;6
1992;21;6
1992;15;8
1992;26;2
1992;21;7
1992;21;6
1992;21;6
1992;22;7
1993;12;6
1993;8;6
1993;23;3
1993;15;5
1993;10;6
1993;16;5
1993;4;6
1993;12;5
1994;11;5
1994;14;6
1994;7;7
1994;10;6
1994;16;4
1994;17;6
1994;15;5
1995;25;5
1995;21;5
1995;11;6
1995;25;7
1995;27;5
1995;23;6
1996;16;5
1996;24;6
1996;19;5
1996;11;7
1996;13;6
1996;8;7
1996;17;6
1996;8;7
1996;13;6
1996;23;5
1996;13;5
1996;8;7
1996;15;6
1996;27;6
1996;18;5
