habitat;sex;colour
open;female;red
open;female;red
open;female;red
open;female;red
open;male;red
open;female;red
open;female;red
open;female;red
open;female;red
open;female;red
open;female;red
open;male;black
open;female;red
open;male;black
open;female;black
open;female;red
open;female;black
open;female;red
open;female;red
open;female;black
open;female;black
open;male;black
open;female;red
open;female;red
open;male;red
open;male;black
open;male;black
open;male;black
open;female;red
open;female;red
open;female;red
open;female;black
open;male;red
open;female;red
open;male;black
overgrown;male;black
overgrown;male;red
overgrown;male;black
overgrown;male;red
overgrown;male;red
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;red
overgrown;male;red
overgrown;female;black
overgrown;male;black
overgrown;male;black
overgrown;female;red
overgrown;male;red
overgrown;male;red
overgrown;male;black
overgrown;male;red
overgrown;male;red
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;female;red
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;male;black
overgrown;female;red
overgrown;male;red
overgrown;female;red
